"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","060251003","1","19.7","ppb","18","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"01/02/2024","AQS","060251003","1","39.1","ppb","37","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"01/03/2024","AQS","060251003","1","26.2","ppb","25","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"01/04/2024","AQS","060251003","1","27.1","ppb","25","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"01/05/2024","AQS","060251003","1","34.1","ppb","32","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"01/06/2024","AQS","060251003","1","18.9","ppb","17","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"01/07/2024","AQS","060251003","1","3.3","ppb","3","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"01/08/2024","AQS","060251003","1","12.8","ppb","11","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"01/09/2024","AQS","060251003","1","31","ppb","29","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"01/10/2024","AQS","060251003","1","26.4","ppb","25","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
